feature	patch	classe	f1-score
BSIF	1	1	0.5333333333333333
BSIF	1	1	0.5333333333333333
BSIF	1	1	0.5333333333333333
BSIF	1	1	0.5333333333333333
BSIF	1	1	0.5333333333333333
BSIF	3	1	0.5333333333333334
BSIF	3	1	0.5333333333333334
BSIF	3	1	0.5333333333333334
BSIF	3	1	0.882051282051282
BSIF	3	1	0.738095238095238
BSIF	5	1	0.463768115942029
BSIF	5	1	0.6666666666666666
BSIF	5	1	0.6666666666666666
BSIF	5	1	0.856060606060606
BSIF	5	1	0.5333333333333333
BSIF	10	1	0.6759259259259259
BSIF	10	1	0.6666666666666666
BSIF	10	1	0.543547651618787
BSIF	10	1	0.6108597285067873
BSIF	10	1	0.6108597285067873
BSIF	1	2	0.5333333333333333
BSIF	1	2	0.5333333333333333
BSIF	1	2	0.5333333333333333
BSIF	1	2	0.5333333333333333
BSIF	1	2	0.5333333333333333
BSIF	3	2	0.738095238095238
BSIF	3	2	0.738095238095238
BSIF	3	2	0.5333333333333334
BSIF	3	2	0.5333333333333334
BSIF	3	2	0.7833333333333334
BSIF	5	2	0.6666666666666666
BSIF	5	2	0.856060606060606
BSIF	5	2	0.5
BSIF	5	2	0.7701863354037268
BSIF	5	2	0.856060606060606
BSIF	10	2	0.769230769230769
BSIF	10	2	0.6666666666666666
BSIF	10	2	0.9661959777492513
BSIF	10	2	0.7936507936507937
BSIF	10	2	0.856060606060606
BSIF	1	3	1.0
BSIF	1	3	0.5333333333333333
BSIF	1	3	0.5333333333333333
BSIF	1	3	0.5333333333333333
BSIF	1	3	0.5333333333333333
BSIF	3	3	0.6753246753246753
BSIF	3	3	0.7777777777777778
BSIF	3	3	0.7777777777777778
BSIF	3	3	0.882051282051282
BSIF	3	3	0.5666666666666667
BSIF	5	3	0.6560846560846562
BSIF	5	3	0.7936507936507937
BSIF	5	3	0.6666666666666666
BSIF	5	3	0.7936507936507937
BSIF	5	3	0.7936507936507937
BSIF	10	3	0.9670329670329669
BSIF	10	3	0.8148148148148148
BSIF	10	3	0.769230769230769
BSIF	10	3	0.7333333333333335
BSIF	10	3	0.8244414044687643
BSIF	1	4	0.5333333333333333
BSIF	1	4	0.5333333333333333
BSIF	1	4	0.5333333333333333
BSIF	1	4	0.5333333333333333
BSIF	1	4	0.5333333333333333
BSIF	3	4	0.8917748917748918
BSIF	3	4	0.6461538461538461
BSIF	3	4	0.5333333333333334
BSIF	3	4	0.738095238095238
BSIF	3	4	0.738095238095238
BSIF	5	4	0.6666666666666666
BSIF	5	4	0.6169772256728778
BSIF	5	4	0.6730462519936202
BSIF	5	4	0.8038277511961723
BSIF	5	4	0.7701863354037268
BSIF	10	4	0.6935817805383023
BSIF	10	4	0.784090909090909
BSIF	10	4	0.8624338624338624
